PWS ID (Links to Records),Name,Reports/Notices,County,Status,Federal Type,State Source Type,Water Hauler,Population,Service Connections,Dist Operator,Treatment Operator,Admin Contact,Emails,Phone Numbers
CO0261002,ARICKAREE SCHOOL,Reports,WASHINGTON,A,"Non-Transient, Non-Community",Groundwater,No,157,8,LYDIA KISER,LYDIA KISER,SARA WALKINSHAW,SARAW@ARICKAREE.ORG;,(BUS) 970-383-2202;
CO0162121,ARISTOCRAT RANCHETTE WATER PROJECT,Reports,WELD,A,Community,Purchased Surface Water,No,1260,420,JON T RABAS,null,BRIAN FILKOWSKI,ARWPOFFICE@AOL.COM;,(BUS) 303-857-4210;
CO0137001,ARRIBA TOWN OF,Reports,LINCOLN,A,Community,Groundwater,No,216,139,RICHARD L HOPP,RICHARD L HOPP,RICHARD L HOPP,RICHARD@RHWW.NET;,(BUS) 970-371-0919;
CO0121050,ARROWHEAD MHP,Reports,EL PASO,A,Community,Groundwater,No,135,54,ELLEN ELLSON,ELLEN ELLSON,DAYTON ORSBURN,DAYTONORSBURN@ME.COM;,(BUS) 909-576-1324;
CO0126121,ARROWHEAD RANCH WC,Reports,GUNNISON,A,Community,Surface Water,No,225,253,MICHAEL KISHBAUGH,MICHAEL KISHBAUGH,PAMELA SQUIRRELL,squwil63@gmail.com;,(BUS) 970-209-2105;
CO0130001,ARVADA CITY OF,Reports,JEFFERSON,A,Community,Surface Water,No,146743,39327,CHRIS KAMPMANN,BRADLEY WYANT,EVELYN RHODES,ERHODES@ARVADA.ORG;,(BUS) 720-898-7802;
CO0123123,ASGARD SUBDIVISION WA,Reports,GARFIELD,A,Community,Groundwater,No,80,21,MARK HAYES,MARK HAYES,MIKE OTTOSEN,mtskottosen@hotmail.com;,(BUS) 970-876-0562;
CO0119124,ASPEN BASALT MHP,Reports,EAGLE,A,Community,Groundwater,No,150,17,ALAN D LESLIE,ALAN D LESLIE,BRITTNEY WESTPHAL,MOUNTAINVALLEY@IPGMHC.COM; ASPENBASALT@IPGMHC.COM;,(BUS) 970-618-2999;
CO0149122,ASPEN CITY OF,Reports,PITKIN,A,Community,Surface Water,No,31100,3875,KYLE KLINE,CHARLES BAILEY,CHARLES BAILEY,charlie.bailey@cityofaspen.com;,(BUS) 970-920-5110;
CO0123152,ASPEN EQUESTRIAN BLUE CREEK RANCH,Reports,GARFIELD,A,Community,Groundwater UDI Surface Water,No,210,77,WALLACE E CANTERBURY,WALLACE E CANTERBURY,NATALIE ZANCANELLA,NATALIE@ZA-ENGINEERING.COM; sonny@za-engineering.com;,(BUS) 970-945-5700;
CO0119125,ASPEN MESA ESTATES,Reports,EAGLE,A,Community,Groundwater,No,225,102,ALAN D LESLIE,ALAN D LESLIE,LUANN CRAIG,LUANNCRAIG@COMCAST.NET; PJHENRY@YAHOO.COM;,(BUS) 970-963-8393;
CO0219123,ASPEN MTN VIEW SUBD,Reports,EAGLE,A,Community,Groundwater,No,150,77,ALAN D LESLIE,ALAN D LESLIE,COURTNEY NEL,courtney@smprop.com;,(BUS) 970-379-3053;
CO0230036,ASPEN PARK MD,Reports,JEFFERSON,A,"Non-Transient, Non-Community",Groundwater,No,1800,11,BRYAN LOBUE,GABRIELLE BEGEMAN,JULIE SORENSEN,jsorensen@orcwater.com;,(BUS) 720-287-0605;
CO0230090,ASPEN PARK VILLAGE CTR,Reports,JEFFERSON,A,"Non-Transient, Non-Community",Groundwater,No,250,32,PATRICK PARKER,PATRICK PARKER,PATRICK PARKER,pat.independentww@gmail.com;,(BUS) 303-838-7428;
CO0104121,ASPEN SPRINGS MD,Reports,ARCHULETA,A,Community,Groundwater,No,290,1,null,GUISEPPE MARGIOTTA,PAM WALLACE,INFO@ASPENSPRINGSMETRO.ORG;,(BUS) 970-946-0691;
CO0149123,ASPEN VILLAGE MD,Reports,PITKIN,A,Community,Groundwater UDI Surface Water,No,300,149,RILEY GESSELE,RILEY GESSELE,JEROME SIMECEK,JSIMECEK@ROMERO-GROUP.COM;,(BUS) 970-273-3101;
CO0162125,AULT TOWN OF,Reports,WELD,A,Community,Purchased Surface Water,No,1743,591,GRANT RUFF,null,GRANT RUFF,GRUFF@TOWNOFAULT.ORG;,(BUS) 970-397-8590;
CO0103005,AURORA CITY OF,Reports,ARAPAHOE,A,Community,Surface Water,No,465501,86309,GARY EDWARDS,RALPH HAIGHT,ORTILANO BOBBY OLIGO,BOLIGO@AURORAGOV.ORG;,(BUS) 303-739-6740;
CO0151050,AVONDALE WSD,Reports,PUEBLO,A,Community,Groundwater,No,1615,447,JOSEPH JESIK,JOSEPH JESIK,DARRELL CONTRERAS,AVONDALEWATER@AOL.COM;,(BUS) 719-947-3186;
CO0155200,BACA GRANDE WSD,Reports,SAGUACHE,A,Community,Groundwater,No,1520,750,MARK G POTTER,MARK G POTTER,JOANN SLIVKA,JOANN@BACAWATER.COM;,(BUS) 719-256-4310; (BUS) 719-256-4309;
CO0147010,BAILEY WSD,Reports,PARK,A,Community,Surface Water,No,483,103,HARRISON MCMULLEN,HARRISON MCMULLEN,JUDY KIRBY,baileywater@aol.com;,(BUS) 303-838-8184;
CO0130133,BANCROFT  CLOVER WSD,Reports,JEFFERSON,A,Community,Purchased Surface Water,No,44000,8818,GILBERTO NAJERA,null,TIM LOWE,TIML@BANCROFTCLOVER.COM;,(BUS) 303-922-1113;
CO0201006,BARR LAKE RVP,Reports,ADAMS,A,Community,Groundwater,No,204,102,GABRIELLE BEGEMAN,GABRIELLE BEGEMAN,JULIE SORENSEN,jsorensen@orcwater.com;,(BUS) 720-287-0605;
CO0119134,BASALT TOWN OF,Reports,EAGLE,A,Community,Groundwater UDI Surface Water,No,2125,870,PAUL NEILSON,ROBI DARCY,ROBI DARCY,h2o@basalt.net; robidarcy@yahoo.com;,(BUS) 970-927-9013; (BUS) 970-379-8969;
CO0107135,BASELINE WD,Reports,BOULDER,A,Community,Purchased Surface Water,No,820,136,EDWARD PODRASKY,null,MARY WAGNER,mary.wagner@comcast.net;,(BUS) 303-499-1769;
CO0123133,BATTLEMENT MESA MD,Reports,GARFIELD,A,Community,Surface Water,No,4100,1450,ROGER BULLA,ROGER BULLA,STEVE RIPPY,srippy@acsol.net;,(BUS) 970-285-9050;
CO0134030,BAYFIELD TOWN OF,Reports,LA PLATA,A,Community,Surface Water,No,2300,1200,JEREMY SCHULZ,RON SABA,RON SABA,RSABA@BAYFIELDGOV.ORG;,(BUS) 970-769-1943;
CO0214142,BEAR CREEK LOA,Reports,CONEJOS,A,Community,Groundwater UDI Surface Water,No,176,89,RICHARD C BASINGER,RICHARD C BASINGER,RON MARTIN,ronmarti@gmail.com;,(BUS) 972-679-1174;
CO0130138,BEAR CREEK WSD,Reports,JEFFERSON,A,Community,Purchased Surface Water,No,30000,3089,CHAD WEAVER,null,JAN WALKER,JANWALKER@BEARCREEKWATER.ORG; BEARCREEKWATER@BEARCREEKWATER.ORG;,(BUS) 303-986-3442;
CO0210100,BEARLY TAWL DAY CARE,Reports,CLEAR CREEK,A,"Non-Transient, Non-Community",Groundwater,No,48,1,JIM GREEN,JIM GREEN,LARRY BALDON,INFO@BEARLYTAWL.COM;,(BUS) 303-647-9070;
CO0145030,BEEHIVE WC NO1,Reports,OTERO,A,Community,Groundwater,No,154,87,LINDSAY GRAHAM,LINDSAY GRAHAM,LINDSAY GRAHAM,LINDSAYLGRAHAM@HOTMAIL.COM;,(BUS) 719-980-5235;
CO0118002,BELL MTN RANCH,Reports,DOUGLAS,A,Community,Groundwater,No,1000,350,GABRIELLE BEGEMAN,GABRIELLE BEGEMAN,JULIE SORENSEN,jsorensen@orcwater.com;,(BUS) 720-287-0605;
CO0101015,BELLEVIEW CHRISTIAN COLLEGE,Reports,ADAMS,A,Community,Groundwater,No,460,26,BARRY W BLUE,BARRY W BLUE,BARRY W BLUE,bblue4567@hotmail.com;,(BUS) 303-839-1500;
CO0119139,BELLYACHE RIDGE MD,Reports,EAGLE,A,Community,Groundwater,No,257,67,THOMAS A ZANCANELLA,THOMAS A ZANCANELLA,MEGHAN HAYES,meghan@mwcpaa.com;,(BUS) 970-926-6060;
CO0221138,BENET HILL MONASTERY,Reports,EL PASO,A,"Non-Transient, Non-Community",Groundwater,No,123,6,DAVID STANFORD,DAVID STANFORD,VINCENT CROWDER,VCrowder@benethillmonastery.org;,(BUS) 719-355-1639;
CO0101020,BENNETT TOWN OF,Reports,ADAMS,A,Community,Groundwater,No,3100,867,DAVID LEWIS,DAVID LEWIS,RICHARD MARTINEZ,RMARTINEZ@BENNETT.CO.US;,(BUS) 303-644-3249;
CO0145060,BENTS FORT WC,Reports,OTERO,A,Community,Purchased Groundwater,No,900,360,BRETT A DOUGHERTY,null,BRETT A DOUGHERTY,BENTSFORTWATER@BRESNAN.NET;,null
CO0101138,BERKELEY VILLAGE MOBILE HOME PARK,Reports,ADAMS,A,Community,Purchased Surface Water,No,1033,1,FRITZ FOUTS,null,FRITZ FOUTS,FFOUTS@TOWN.MORRISON.CO.US; FRITZFOUTSJR@GMAIL.COM;,(BUS) 303-697-8749; (BUS) 303-697-8752; (BUS) 303-895-6016;
CO0135138,BERTHOUD TOWN OF,Reports,LARIMER,A,Community,Surface Water,No,7540,3198,R WAYNE RAMEY,R WAYNE RAMEY,CHRIS KIRK,CKIRK@BERTHOUD.ORG;,(BUS) 970-532-2643;
CO0132001,BETHUNE TOWN OF,Reports,KIT CARSON,A,Community,Groundwater,No,195,93,SHERRI STEPHEN,SHERRI STEPHEN,SHERRI STEPHEN,SHERRI.STEPHEN62@GMAIL.COM;,(BUS) 719-346-8158;
CO0151100,BEULAH WATER WORKS DISTRICT,Reports,PUEBLO,A,Community,Surface Water,No,415,165,DAVID LEWIS,DAVID LEWIS,LINDA OVERLIN,president.bwwd@gmail.com;,(BUS) 719-251-4331;
CO0118001,BEVERLY HILLS MUTUAL WC,Reports,DOUGLAS,A,Community,Groundwater,No,325,119,THOMAS DEA,DAVE BOMHOFF,GENE CRANDALL,GMCrandall@aol.com;,(BUS) 303-887-7448;
CO0135143,BIG ELK MEADOWS WA,Reports,LARIMER,A,Community,Surface Water,No,351,163,PAUL FLANAGAN,PAUL FLANAGAN,VICTORIA J DARLING,ADMIN@BIGELKMEADOWS.ORG;,(BUS) 303-835-7557;
CO0221060,BIG PINES CAMPGROUND,Reports,EL PASO,A,Community,Groundwater,No,72,45,MIKE PUTNAM,MIKE PUTNAM,MIKE PUTNAM,MIKEPUTNAM19@YAHOO.COM;,(BUS) 719-687-9160;
CO0124147,BLACK HAWK CITY OF,Reports,GILPIN,A,Community,Surface Water,No,15167,115,TOM URBAN,TOM URBAN,JASON FREDRICKS,jfredricks@cityofblackhawk.org;,(BUS) 303-582-2246;
CO0212199,BLANCA FORESTRY PRODUCTS,Reports,COSTILLA,A,"Non-Transient, Non-Community",Groundwater,No,50,4,THOMAS SCHOONOVER,THOMAS SCHOONOVER,THOMAS SCHOONOVER,SLVWATERPRO@PROTONMAIL.COM;,(BUS) 970-402-6457;
CO0112100,BLANCA TOWN OF,Reports,COSTILLA,A,Community,Groundwater,No,471,169,WAYNE SCHWAB,WAYNE SCHWAB,MYRRL SMITH,blancaco@gojade.org;,(BUS) 719-379-3461;
CO0130005,BLUE MOUNTAIN WD,Reports,JEFFERSON,A,Community,Groundwater,No,350,108,JORDAN HERZING,JORDAN HERZING,JULIE SORENSEN,jsorensen@orcwater.com;,(BUS) 720-287-0605;
CO0159005,BLUE RIVER VALLEY RANCH LAKES,Reports,SUMMIT,A,Community,Groundwater,No,150,44,JOHN VOLK,JOHN VOLK,BRUCE CHAMEROY,BHCHAMEROY@YAHOO.COM; BCHAMEROY@ERIECO.GOV;,(BUS) 303-926-2862;
CO0134065,BLUE SKY RANCH INC ASSOC OF OWNERS,Reports,LA PLATA,A,Community,Groundwater,No,175,51,TOM RILEY,TOM RILEY,ROBERT JOHNSTON,johnstonland@frontier.net; MUSTACHEROB1@GMAIL.COM;,(BUS) 970-385-5792;
CO0125148,BLUE VALLEY MD,Reports,GRAND,A,Community,Groundwater UDI Surface Water,No,410,118,MATTHEW WILLITTS,MATTHEW WILLITTS,MATTHEW WILLITTS,mwillitts@wsicolorado.com;,(BUS) 970-262-0217;
CO0121060,BOBCAT MEADOWS MD,Reports,EL PASO,A,Community,Groundwater,No,470,135,DAVID STANFORD,DAVID STANFORD,DAVE GRISER,davidgriser@live.com;,null
CO0115152,BONE MESA DOMESTIC WD,Reports,DELTA,A,Community,Groundwater UDI Surface Water,No,400,165,TRAVIS LOBERG,TRAVIS LOBERG,VIVA KELLOGG,VIVA.BONEMESA@GMAIL.COM;,(BUS) 970-527-7555;
CO0130152,BONVUE WATER AND SANITATION DISTRICT,Reports,JEFFERSON,A,Community,Purchased Surface Water,No,350,169,ED ZIMBLEMAN,null,WARREN POTTER,porynh20@yahoo.com;,null
CO0151150,BOONE TOWN OF,Reports,PUEBLO,A,Community,Groundwater,No,350,172,DAVID LEWIS,DAVID LEWIS,KELLI VALENCIA,TOWNOFBOONE@YAHOO.COM;,(BUS) 719-947-3311;
CO0107152,BOULDER CITY OF,Reports,BOULDER,A,Community,Surface Water,No,166080,31959,JOSHUA A MECK,MATT SWADENER,JON STODDARD,STODDARDJ@BOULDERCOLORADO.GOV;,(BUS) 720-564-2320;
CO0107179,BOULDER MEADOWS MHP,Reports,BOULDER,A,Community,Purchased Surface Water,No,1657,653,GABRIELLE BEGEMAN,RONALD D WEAVER,GLENN COUCH,GLENN@UNIPROP.COM;,(BUS) 970-686-8750;
CO0103153,BOW MAR WSD,Reports,ARAPAHOE,A,Community,Purchased Surface Water,No,899,290,SCOTT HAND,null,PATRICK FITZGERALD,RAYR@HAYNIECPAS.COM; PJFITZGERALD@PLATTECANYON.ORG;,(BUS) 303-795-2142; (BUS) 303-979-2333;
CO0131200,BRANDON WA,Reports,KIOWA,A,Community,Groundwater,No,50,25,BENNY FREY,BENNY FREY,KATHY SPECHT,null,(BUS) 719-729-3328;
CO0136300,BRANSON TOWN OF,Reports,LAS ANIMAS,A,Community,Groundwater UDI Surface Water,No,131,26,JACK EDWARD BARKER,JACK EDWARD BARKER,BRADLEY L DOHERTY,BLDOHERTY@GMAIL.COM;,(BUS) 719-859-4133;
CO0159020,BRECKENRIDGE TOWN OF,Reports,SUMMIT,A,Community,Surface Water,No,28315,4463,GREGG ALTIMARI,LAURA LYNCH,LAURA LYNCH,laural@townofbreckenridge.com;,(BUS) 970-453-3378;
CO0262155,BRIGGSDALE SCHOOL,Reports,WELD,A,"Non-Transient, Non-Community",Groundwater,No,194,6,RONALD TORRES JR,RONALD TORRES JR,THERESA HERYLA,THERESA@AWWS.ORG;,(BUS) 970-494-1610;
CO0162155,BRIGGSDALE WC,Reports,WELD,A,Community,Groundwater,No,337,55,R WAYNE RAMEY,R WAYNE RAMEY,JERRY WARNER,CWSTREAKER@AOL.COM;,(BUS) 970-302-7388;
CO0101025,BRIGHTON CITY OF,Reports,ADAMS,A,Community,Groundwater UDI Surface Water,No,36010,10209,MICHAEL SEXTON,SAM MINGO,BRETT SHERMAN,BSHERMAN@BRIGHTONCO.GOV;,(BUS) 303-655-2008;
CO0101030,BRIGHTON VILLAGE LLC,Reports,ADAMS,A,Community,Purchased Surface Water,No,77,24,RONALD TORRES JR,RONALD TORRES JR,THERESA HERYLA,THERESA@AWWS.ORG;,(BUS) 970-494-1610;
CO0150200,BRISTOL WSD,Reports,PROWERS,A,Community,Groundwater,No,210,61,KEVIN RINK,KEVIN RINK,CATHERINE PARK,Bristolwater@mail.com; cathy@cathypark.net;,(BUS) 720-284-1061;
CO0120153,BRITANIE RIDGE WS,Reports,ELBERT,A,Community,Groundwater,No,245,73,ROY A HACKETT,ROY A HACKETT,JAMES SCHRIGER,JARDSGR@GMAIL.COM;,(BUS) 303-917-9890;
CO0130010,BROOK FOREST WD,Reports,JEFFERSON,A,Community,Groundwater,No,998,314,DOMINIC MONARD,DOMINIC MONARD,NICKI HOLDER,BROOKFORESTWATERDISTRICT@GMAIL.COM;,(BUS) 800-544-9903;
CO0122050,BROOKSIDE TOWN OF,Reports,FREMONT,A,Community,Purchased Surface Water,No,438,90,CARL COLGIN,null,KATIE ROSENQUIST,TOWNHALLBROOKSIDE@BRESNAN.NET;,(BUS) 719-276-3436;
CO0107155,BROOMFIELD CITY AND COUNTY OF,Reports,BROOMFIELD,A,Community,Surface Water,No,106153,14388,JEFF RUGER,WAYNE FIELDS,LAURA HUBBARD,lhubbard@broomfield.org; LJULIAN@BROOMFIELD.ORG;,(BUS) 303-464-5606;
CO0216001,BROWN PALACE HOTEL,Reports,DENVER,A,"Non-Transient, Non-Community",Groundwater,No,800,1,RON KRUEGER,RON KRUEGER,RON KRUEGER,info@cc-wt.com;,(BUS) 720-883-8793; (BUS) 720-234-3734;
CO0144001,BRUSH CITY OF,Reports,MORGAN,A,Community,Groundwater,No,5117,1839,DALE COLERICK JR,DON MARYMEE,DALE COLERICK JR,dcolerick@brushcolo.com; DACOLERICK@AOL.COM; JULESBURGTOWNOF@GMAIL.COM;,(BUS) 970-474-3344; (BUS) 970-842-5001;
CO0149155,BRUSH CREEK WD,Reports,PITKIN,A,Community,Purchased Surface Water,No,516,129,ALAN D LESLIE,ALAN D LESLIE,RICK STEVENS,9LAX@COMCAST.NET;,(BUS) 970-379-2752;
CO0126158,BUCKHORN RANCH WS,Reports,GUNNISON,A,Community,Groundwater UDI Surface Water,No,100,60,BRIAN CARNEY,BRIAN CARNEY,ROB HARPER,ROB@TOADPROPERTYMANAGEMENT.COM; billing@toadpropertymanagement.com;,(BUS) 970-349-2773; (BUS) 970-275-1758;
CO0252160,BUCKSKIN VALLEY SUBDIVISION,Reports,RIO BLANCO,A,Community,Groundwater,No,28,14,RICHARD L HOPP,RICHARD L HOPP,CHRIS HATCHER,CHRIS_ETE@LIVE.COM;,(BUS) 970-756-5056;
CO0108350,BUENA VISTA CORRECTIONAL FACILITY,Reports,CHAFFEE,A,Community,Groundwater,No,1700,30,TYLER PROSSER,TYLER PROSSER,BRYAN COLEMAN,BRYAN.COLEMAN@STATE.CO.US;,(BUS) 719-395-2404;
CO0108300,BUENA VISTA TOWN OF,Reports,CHAFFEE,A,Community,Groundwater,No,3721,1653,ALLAN SMITH,ALLAN SMITH,SHAWN WILLIAMS,BVPWDIR@BUENAVISTACO.GOV; ASMITH@BUENAVISTACO.GOV;,(BUS) 719-395-6898;
CO0130015,BUFFALO CREEK WD,Reports,JEFFERSON,A,Community,Surface Water,No,125,130,JIM GREEN,JIM GREEN,JIM GREEN,bccreek@hotmail.com;,(BUS) 303-838-5312;
CO0138001,BUFFALO HILLS RV PARK,Reports,LOGAN,A,Community,Groundwater,No,140,100,CHRIS VANDEMOER,CHRIS VANDEMOER,CINDY VANDEMOER,CVANDEMOER@HOTMAIL.COM;,(BUS) 970-580-5802;
CO0159025,BUFFALO MOUNTAIN MD,Reports,SUMMIT,A,Community,Groundwater,No,2650,700,MATTHEW WILLITTS,MATTHEW WILLITTS,SHELLIE DUPLAN,shellie@bmmd.org;,(BUS) 970-513-1300;
CO0162159,BUFFALO RIDGE ESTATES,Reports,WELD,A,Community,Groundwater,No,90,30,GABRIELLE BEGEMAN,GABRIELLE BEGEMAN,JULIE SORENSEN,jsorensen@orcwater.com;,(BUS) 720-287-0605;
CO0115162,BURGESS WATER COMPANY,Reports,DELTA,A,Community,Purchased Surface Water,No,57,23,CASSANDRA SHENK,CASSANDRA SHENK,HEIDI REESE,cjreese@mac.com; burgesswatercompany@gmail.com;,(BUS) 970-417-3169;
CO0132005,BURLINGTON CITY OF,Reports,KIT CARSON,A,Community,Groundwater,No,3720,1300,MIKE KONECNE,LEEVI DANIEL NESBITT,JAMES KEEHNE,JIM.KEEHNE@BURLINGTONCOLO.COM;,(BUS) 719-346-8652;
CO0149160,BUTTERMILK MD,Reports,PITKIN,A,Community,Purchased Surface Water,No,200,64,ADAM ROBISON,JAMES KORPELA,JAMES KORPELA,JKORPELA@ROMERO-GROUP.COM;,(BUS) 970-273-3100;
